3F,機械室2,Office,機械室,4,3.6,7,25.2,0.59434,0.5,直付富士型,Null,48,2,3.8095,4.9, , , , ,　,　,1,200,93.696,187.392,241.033,0.38873
3F,階段室S,Office,廊下,4,3.2,7,22.4,0.54902,0.5,Null,Null,179.2,1,8,8, , , , ,　,　,1,3133,2739.796,5479.5919,5479.5919,0.5
4F,4F事務室,Office,事務室,2.6,37,17,623,4.4801,1.1,埋込下面ルーバー,Null,94,120,18.1059,16.3,事(6.4m),減光, ,昼両VB有,　,　,0.67688,3133,256815.0503,233468.2275,310517.3446,0.82706
4F,4FEVホール,Office,ロビー,2.4,11,3.4,37.4,1.0822,0.7,ﾀﾞｳﾝﾗｲﾄ,Null,48,12,15.4011,17.9, , , , ,　,　,1,3133,12329.0819,17612.9741,20470.8014,0.60228
4F,廊下,Office,廊下,2.4,0,0,88.6,0.69645,0.5,ﾀﾞｳﾝﾗｲﾄ,Null,48,25,13.544,8, ,減光, , ,　,　,0.95,3133,17429.5056,34859.0112,21673.7431,0.80418
4F,階段室N,Office,廊下,4,3.2,7,22.4,0.54902,0.5,Null,Null,179.2,1,8,8, , , , ,　,　,1,3133,2739.796,5479.5919,5479.5919,0.5
4F,乗降ロビー,Office,ロビー,2.4,2.6,4.3,11.2,0.67512,0.5,Null,Null,123.2,1,11,17.9, , , , ,　,　,1,3133,1883.6097,3767.2195,6130.2935,0.30726
4F,DS,Office,機械室,4,1,7,7,0.21875,0.5,直付富士型,Null,22,2,6.2857,4.9, , , , ,　,　,1,200,42.944,85.888,66.9536,0.6414
4F,機械室1,Office,機械室,4,3.2,7,22.4,0.54902,0.5,直付富士型,Null,48,2,4.2857,4.9, , , , ,　,　,1,200,93.696,187.392,214.2515,0.43732
4F,PS1,Office,機械室,4,1.2,2.8,3.4,0.21,0.5,直付富士型,Null,22,1,6.4706,4.9, , , , ,　,　,1,200,21.472,42.944,32.5203,0.66026
4F,男子便所,Office,便所,2.4,2.8,5.8,16.2,0.78682,0.6,ﾀﾞｳﾝﾗｲﾄ,Null,48,6,17.7778,12,廊下(点滅), , , ,　,　,0.7,3133,3698.7246,6164.5409,5944.3788,0.66975
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,1.358,,廊下(点滅), , , ,　,　,0.7,,282.5415,470.9024,,
4F,EPS,Office,電気室,4,6.1,1,6.1,0.21479,0.5,直付富士型,Null,22,2,7.2131,4.9, , , , ,　,　,1,200,42.944,85.888,58.3453,0.73603
4F,アラーム弁室,Office,機械室,4,1.9,1,1.9,0.16379,0.5,直付富士型,Null,22,1,11.5789,4.9, , , , ,　,　,1,200,21.472,42.944,18.1731,1.1815
4F,PS2,Office,機械室,4,1.2,2.8,3.4,0.21,0.5,直付富士型,Null,22,1,6.4706,4.9, , , , ,　,　,1,200,21.472,42.944,32.5203,0.66026
4F,女子便所,Office,便所,2.4,2.8,5.8,16.2,0.78682,0.6,ﾀﾞｳﾝﾗｲﾄ,Null,48,6,17.7778,12,廊下(点滅), , , ,　,　,0.7,3133,3698.7246,6164.5409,5944.3788,0.66975
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,1.358,,廊下(点滅), , , ,　,　,0.7,,282.5415,470.9024,,
4F,多目的便所,Office,便所,2.4,2,2,4,0.41667,0.5,ﾀﾞｳﾝﾗｲﾄ,Null,48,2,24,12,廊下(点滅), , , ,　,　,0.7,3133,1027.4235,2054.847,1467.7478,0.86042
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,5.5,,廊下(点滅), , , ,　,　,0.7,,235.4512,470.9024,,
4F,湯沸コーナー,Office,湯沸室等,2.4,2.2,3.2,7,0.54321,0.5,直付富士型,Null,48,1,6.8571,6.6,廊下(点滅), , , ,　,　,0.7,1000,163.968,327.936,450.912,0.5303
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,3.1429,,廊下(点滅), , , ,　,　,0.7,,75.152,150.304,,
4F,倉庫2,Office,更衣室,2.4,0,0,6.6,0.31827,0.5,直付富士型,Null,95,1,14.3939,6.6, , , , ,　,　,1,3133,1452.4588,2904.9176,1331.9812,1.0904
4F,機械室2,Office,機械室,4,3.6,7,25.2,0.59434,0.5,直付富士型,Null,48,2,3.8095,4.9, , , , ,　,　,1,200,93.696,187.392,241.033,0.38873
4F,階段室S,Office,廊下,4,3.2,7,22.4,0.54902,0.5,Null,Null,179.2,1,8,8, , , , ,　,　,1,3133,2739.796,5479.5919,5479.5919,0.5
5F,5F事務室,Office,事務室,2.6,37,17,623,4.4801,1.1,埋込下面ルーバー,Null,94,120,18.1059,16.3,事(6.4m),減光, ,昼両VB有,　,　,0.67688,3133,256815.0503,233468.2275,310517.3446,0.82706
5F,5FEVホール,Office,ロビー,2.4,11,3.4,37.4,1.0822,0.7,ﾀﾞｳﾝﾗｲﾄ,Null,48,12,15.4011,17.9, , , , ,　,　,1,3133,12329.0819,17612.9741,20470.8014,0.60228
5F,廊下,Office,廊下,2.4,0,0,88.6,0.69645,0.5,ﾀﾞｳﾝﾗｲﾄ,Null,48,25,13.544,8, ,減光, , ,　,　,0.95,3133,17429.5056,34859.0112,21673.7431,0.80418
5F,階段室N,Office,廊下,4,3.2,7,22.4,0.54902,0.5,Null,Null,179.2,1,8,8, , , , ,　,　,1,3133,2739.796,5479.5919,5479.5919,0.5
5F,乗降ロビー,Office,ロビー,2.4,2.6,4.3,11.2,0.67512,0.5,Null,Null,123.2,1,11,17.9, , , , ,　,　,1,3133,1883.6097,3767.2195,6130.2935,0.30726
5F,DS,Office,機械室,4,1,7,7,0.21875,0.5,直付富士型,Null,22,2,6.2857,4.9, , , , ,　,　,1,200,42.944,85.888,66.9536,0.6414
5F,機械室1,Office,機械室,4,3.2,7,22.4,0.54902,0.5,直付富士型,Null,48,2,4.2857,4.9, , , , ,　,　,1,200,93.696,187.392,214.2515,0.43732
5F,PS1,Office,機械室,4,1.2,2.8,3.4,0.21,0.5,直付富士型,Null,22,1,6.4706,4.9, , , , ,　,　,1,200,21.472,42.944,32.5203,0.66026
5F,男子便所,Office,便所,2.4,2.8,5.8,16.2,0.78682,0.6,ﾀﾞｳﾝﾗｲﾄ,Null,48,6,17.7778,12,廊下(点滅), , , ,　,　,0.7,3133,3698.7246,6164.5409,5944.3788,0.66975
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,1.358,,廊下(点滅), , , ,　,　,0.7,,282.5415,470.9024,,
5F,EPS,Office,電気室,4,6.1,1,6.1,0.21479,0.5,直付富士型,Null,22,2,7.2131,4.9, , , , ,　,　,1,200,42.944,85.888,58.3453,0.73603
5F,アラーム弁室,Office,機械室,4,1.9,1,1.9,0.16379,0.5,直付富士型,Null,22,1,11.5789,4.9, , , , ,　,　,1,200,21.472,42.944,18.1731,1.1815
5F,PS2,Office,機械室,4,1.2,2.8,3.4,0.21,0.5,直付富士型,Null,22,1,6.4706,4.9, , , , ,　,　,1,200,21.472,42.944,32.5203,0.66026
5F,女子便所,Office,便所,2.4,2.8,5.8,16.2,0.78682,0.6,ﾀﾞｳﾝﾗｲﾄ,Null,48,6,17.7778,12,廊下(点滅), , , ,　,　,0.7,3133,3698.7246,6164.5409,5944.3788,0.66975
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,1.358,,廊下(点滅), , , ,　,　,0.7,,282.5415,470.9024,,
5F,多目的便所,Office,便所,2.4,2,2,4,0.41667,0.5,ﾀﾞｳﾝﾗｲﾄ,Null,48,2,24,12,廊下(点滅), , , ,　,　,0.7,3133,1027.4235,2054.847,1467.7478,0.86042
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,5.5,,廊下(点滅), , , ,　,　,0.7,,235.4512,470.9024,,
5F,湯沸コーナー,Office,湯沸室等,2.4,2.2,3.2,7,0.54321,0.5,直付富士型,Null,48,1,6.8571,6.6,廊下(点滅), , , ,　,　,0.7,1000,163.968,327.936,450.912,0.5303
,,,,,,,,,,流元灯(ｶﾊﾞｰ付）,Null,22,1,3.1429,,廊下(点滅), , , ,　,　,0.7,,75.152,150.304,,
5F,倉庫2,Office,更衣室,2.4,0,0,6.6,0.31827,0.5,直付富士型,Null,95,1,14.3939,6.6, , , , ,　,　,1,3133,1452.4588,2904.9176,1331.9812,1.0904
5F,機械室2,Office,機械室,4,3.6,7,25.2,0.59434,0.5,直付富士型,Null,48,2,3.8095,4.9, , , , ,　,　,1,200,93.696,187.392,241.033,0.38873
5F,階段室S,Office,廊下,4,3.2,7,22.4,0.54902,0.5,Null,Null,179.2,1,8,8, , , , ,　,　,1,3133,2739.796,5479.5919,5479.5919,0.5
6F,6F事務室,Office,事務室,2.6,37,17,623,4.4801,1.1,埋込下面ルーバー,Null,94,120,18.1059,16.3,事(6.4m),減光, ,昼両VB有,　,　,0.67688,3133,256815.0503,233468.2275,310517.3446,0.82706
6F,6FEVホール,Office,ロビー,2.4,11,3.4,37.4,1.0822,0.7,ﾀﾞｳﾝﾗｲﾄ,Null,48,12,15.4011,17.9, , , , ,　,　,1,3133,12329.0819,17612.9741,20470.8014,0.60228
6F,廊下,Office,廊下,2.4,0,0,88.6,0.69645,0.5,ﾀﾞｳﾝﾗｲﾄ,Null,48,25,13.544,8, ,減光, , ,　,　,0.95,3133,17429.5056,34859.0112,21673.7431,0.80418
6F,階段室N,Office,廊下,4,3.2,7,22.4,0.54902,0.5,Null,Null,179.2,1,8,8, , , , ,　,　,1,3133,2739.796,5479.5919,5479.5919,0.5
6F,乗降ロビー,Office,ロビー,2.4,2.6,4.3,11.2,0.67512,0.5,Null,Null,123.2,1,11,17.9, , , , ,　,　,1,3133,1883.6097,3767.2195,6130.2935,0.30726
6F,DS,Office,機械室,4,1,7,7,0.21875,0.5,直付富士型,Null,22,2,6.2857,4.9, , , , ,　,　,1,200,42.944,85.888,66.9536,0.6414
6F,機械室1,Office,機械室,4,3.2,7,22.4,0.54902,0.5,直付富士型,Null,48,2,4.2857,4.9, , , , ,　,　,1,200,93.696,187.392,214.2515,0.43732
