様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
①,①,②,②,③,④,⑤,⑥,⑥,⑥,⑥,⑦
,,,,,,,,,,,
階,室名,建物用途,室用途,室面積,階高,天井高,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考
,,,,,,,,,,,
,,,,[㎡],[m],[m],,,,,
,,(選択),(選択),,,,(選択),(選択),(選択),(選択),
,,,,,,,,,,,
5F,客室S04,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S05,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S06,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S07,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S08,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S09,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S10,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S11,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S12,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S13,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S14,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S15,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S16,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S17,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S18,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S19,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S20,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S21,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S22,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S23,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S24,ホテル等,客室,12.6,3.8,2.6,■,,,,
5F,客室S1UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S2UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S3UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S4UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S5UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S6UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S7UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S8UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S9UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S10UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S11UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S12UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S13UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S14UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S15UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S16UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S17UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S18UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S19UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S20UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S21UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S22UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S23UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室S24UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
5F,客室W01,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W02,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W03,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W04,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W05,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W06,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W07,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W08,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W09,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W10,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W11,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W12,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W13,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W14,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W15,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W16,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W17,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W18,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W19,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W20,ホテル等,客室,23.4,3.8,2.6,■,,,,
5F,客室W1UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W2UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W3UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W4UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W5UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W6UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W7UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W8UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W9UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W10UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W11UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W12UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W13UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W14UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W15UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W16UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W17UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W18UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W19UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
5F,客室W20UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,EVホール,ホテル等,終日利用される廊下,24,3.8,2.6,■,,,,
6F,ES,ホテル等,機械室,12,3.8,3.8,,,,,
6F,自販機コーナー,ホテル等,終日利用される廊下,7.8,3.8,2.4,,,,,
6F,リネン室,ホテル等,更衣室又は倉庫,21,3.8,2.4,■,,,,
6F,階段1,ホテル等,終日利用される廊下,20.4,3.8,3.8,,,,,
6F,屋外階段1,ホテル等,終日利用される廊下,19.5,3.8,3.8,,,,,
6F,屋外階段2,ホテル等,終日利用される廊下,19.5,3.8,3.8,,,,,
6F,廊下1,ホテル等,終日利用される廊下,192,3.8,2.4,,,,,
6F,客室S01,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S02,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S03,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S04,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S05,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S06,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S07,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S08,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S09,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S10,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S11,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S12,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S13,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S14,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S15,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S16,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S17,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S18,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S19,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S20,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S21,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S22,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S23,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S24,ホテル等,客室,12.6,3.8,2.6,■,,,,
6F,客室S1UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S2UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S3UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S4UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S5UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S6UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S7UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S8UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S9UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S10UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S11UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S12UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S13UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S14UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S15UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S16UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S17UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S18UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S19UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S20UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S21UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S22UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S23UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室S24UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
6F,客室W01,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W02,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W03,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W04,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W05,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W06,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W07,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W08,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W09,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W10,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W11,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W12,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W13,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W14,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W15,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W16,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W17,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W18,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W19,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W20,ホテル等,客室,23.4,3.8,2.6,■,,,,
6F,客室W1UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W2UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W3UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W4UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W5UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W6UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W7UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W8UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W9UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W10UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W11UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W12UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W13UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W14UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W15UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W16UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W17UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W18UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W19UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
6F,客室W20UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,EVホール,ホテル等,終日利用される廊下,24,3.8,2.6,■,,,,
7F,ES,ホテル等,機械室,12,3.8,3.8,,,,,
7F,自販機コーナー,ホテル等,終日利用される廊下,7.8,3.8,2.4,,,,,
7F,リネン室,ホテル等,更衣室又は倉庫,21,3.8,2.4,■,,,,
7F,階段1,ホテル等,終日利用される廊下,20.4,3.8,3.8,,,,,
7F,屋外階段1,ホテル等,終日利用される廊下,19.5,3.8,3.8,,,,,
7F,屋外階段2,ホテル等,終日利用される廊下,19.5,3.8,3.8,,,,,
7F,廊下1,ホテル等,終日利用される廊下,192,3.8,2.4,,,,,
7F,客室S01,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S02,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S03,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S04,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S05,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S06,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S07,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S08,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S09,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S10,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S11,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S12,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S13,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S14,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S15,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S16,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S17,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S18,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S19,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S20,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S21,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S22,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S23,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S24,ホテル等,客室,12.6,3.8,2.6,■,,,,
7F,客室S1UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S2UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S3UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S4UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S5UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S6UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S7UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S8UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S9UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S10UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S11UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S12UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S13UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S14UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S15UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S16UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S17UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S18UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S19UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S20UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S21UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S22UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S23UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室S24UB,ホテル等,客室内の浴室等,3.6,3.8,2.4,,,,,
7F,客室W01,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W02,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W03,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W04,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W05,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W06,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W07,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W08,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W09,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W10,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W11,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W12,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W13,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W14,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W15,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W16,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W17,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W18,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W19,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W20,ホテル等,客室,23.4,3.8,2.6,■,,,,
7F,客室W1UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W2UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W3UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W4UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W5UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W6UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W7UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W8UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W9UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W10UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W11UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W12UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W13UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W14UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W15UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W16UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W17UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W18UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W19UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
7F,客室W20UB,ホテル等,客室内の浴室等,4.4,3.8,2.4,,,,,
RF,機械室,ホテル等,機械室,30,3.8,2.6,,,,,
RF,屋外階段1,ホテル等,終日利用される廊下,19.5,3.8,3.8,,,,,
RF,屋外階段2,ホテル等,終日利用される廊下,19.5,3.8,3.8,,,,,
